                        index  poi_loss  non_poi_loss  total_loss
0                      salary         1            49          50
1                 to_messages         4            54          58
2           deferral_payments        13            93         106
3              total_payments         0            21          21
4     exercised_stock_options         6            37          43
5                       bonus         2            61          63
6            restricted_stock         1            34          35
7     shared_receipt_with_poi         4            54          58
8   restricted_stock_deferred        18           109         127
9           total_stock_value         0            19          19
10                   expenses         0            50          50
11              loan_advances        17           124         141
12              from_messages         4            54          58
13                      other         0            53          53
14    from_this_person_to_poi         4            54          58
15              director_fees        18           110         128
16            deferred_income         7            89          96
17        long_term_incentive         6            73          79
18              email_address         0            33          33
19    from_poi_to_this_person         4            54          58
