"prefecture","total_population","density","total_population_male","total_population_female","under_15","15_29","30_44","45_64","65_79","over_80","age_unknow","Births","Deaths","Immigrants","Emmigrants","total_households"
"all","127110000.0","340.7","61829200.0","65280800.0","15864300.0","18479100.0","25107200.0","32331800.0","23526200.0","9895200.0","1906000.0","1003539.0","1273004.0","2259688.0","2259688.0","53403226.0"
"JP.HK","5383600.0","340.7","2536600.0","2846900.0","601600.0","736300.0","997000.0","1435800.0","1075800.0","480600.0","56300.0","37058.0","60018.0","46554.0","55496.0","2440502.0"
"JP.AO","1308600.0","137.0","614600.0","694000.0","148100.0","171400.0","224300.0","361600.0","263900.0","122300.0","17000.0","8853.0","17042.0","17792.0","24252.0","510948.0"
"JP.IW","1279800.0","84.1","615600.0","664200.0","152100.0","168600.0","218800.0","342800.0","252800.0","133700.0","10900.0","8803.0","16274.0","17845.0","21045.0","491725.0"
"JP.MG","2334200.0","319.7","1140100.0","1194100.0","289000.0","353600.0","455900.0","598000.0","398300.0","185300.0","53900.0","18069.0","22854.0","48951.0","46514.0","944719.0"
"JP.AK","1022800.0","89.1","480200.0","542700.0","107700.0","118400.0","165400.0","282000.0","220400.0","119100.0","10100.0","5998.0","15095.0","11626.0","16049.0","388621.0"
"JP.YT","1123000.0","121.3","539700.0","583300.0","136100.0","147600.0","191000.0","299800.0","218900.0","124200.0","5500.0","7966.0","15031.0","13316.0","16889.0","393920.0"
"JP.FS","1913600.0","140.4","945000.0","968600.0","214300.0","262200.0","354500.0","510200.0","381100.0","169000.0","22300.0","14517.0","23495.0","27056.0","29267.0","736616.0"
"JP.IB","2917900.0","478.8","1453500.0","1464300.0","370000.0","422400.0","564000.0","762100.0","546800.0","215600.0","37100.0","21873.0","30341.0","44018.0","48867.0","1123802.0"
"JP.TC","1974700.0","309.0","981500.0","993100.0","257300.0","278400.0","395700.0","529100.0","359700.0","149200.0","5300.0","15442.0","20755.0","30542.0","32337.0","762535.0"
"JP.GM","1973500.0","310.6","973300.0","1000200.0","256600.0","279400.0","377300.0","509800.0","375600.0","161800.0","13000.0","14522.0","21441.0","26519.0","28769.0","773186.0"
"JP.ST","7261300.0","1906.1","3625000.0","3636200.0","905200.0","1099300.0","1496500.0","1845200.0","1342600.0","409800.0","162600.0","55765.0","61269.0","157553.0","142644.0","2968978.0"
"JP.CH","6224000.0","1201.5","3095400.0","3128600.0","776800.0","903400.0","1278900.0","1603900.0","1205700.0","402000.0","53300.0","46749.0","53975.0","137199.0","128835.0","2607079.0"
"JP.TK","13513700.0","6111.6","6662800.0","6850900.0","1494800.0","2099100.0","3197300.0","3423300.0","2179200.0","860700.0","259200.0","110629.0","111023.0","404736.0","331456.0","6692089.0"
"JP.KN","9127300.0","3765.2","4558100.0","4569200.0","1145100.0","1394400.0","1955900.0","2331900.0","1576100.0","577900.0","146100.0","72996.0","74387.0","203866.0","191011.0","3978243.0"
"JP.NI","2305100.0","183.8","1115600.0","1189500.0","276800.0","312200.0","415300.0","605700.0","451100.0","232400.0","11700.0","16480.0","28316.0","21853.0","27371.0","848199.0"
"JP.TY","1066900.0","251.9","515200.0","551700.0","132100.0","139000.0","199900.0","267500.0","220200.0","102400.0","5700.0","7556.0","12584.0","11891.0","12982.0","390786.0"
"JP.IS","1154300.0","276.1","558600.0","595800.0","149400.0","167500.0","219200.0","284400.0","218800.0","97700.0","17300.0","8961.0","12190.0","16994.0","17580.0","453469.0"
"JP.FI","787100.0","188.5","381500.0","405600.0","103700.0","108900.0","141000.0","200400.0","148000.0","75500.0","9700.0","6166.0","8817.0","8048.0","10294.0","279380.0"
"JP.YN","835200.0","188.4","408400.0","426800.0","103300.0","121900.0","148000.0","221500.0","155700.0","76300.0","8600.0","6063.0","9755.0","12029.0","14593.0","329953.0"
"JP.NN","2099800.0","155.5","1022200.0","1077600.0","273300.0","276300.0","380100.0","532900.0","407200.0","212100.0","18000.0","15848.0","24751.0","25794.0","29073.0","806447.0"
"JP.GF","2032500.0","192.2","983900.0","1048600.0","267900.0","294000.0","378000.0","512100.0","393700.0","168100.0","18900.0","15138.0","21658.0","25258.0","29412.0","752574.0"
"JP.SZ","3701200.0","476.3","1821000.0","1880200.0","483100.0","503300.0","711000.0","960600.0","714600.0","300400.0","28200.0","28684.0","38342.0","48814.0","56054.0","1427077.0"
"JP.AI","7484100.0","1441.3","3740300.0","3743800.0","1029800.0","1173300.0","1577600.0","1820800.0","1288300.0","462700.0","131300.0","65218.0","62426.0","109405.0","103215.0","3060881.0"
"JP.ME","1815800.0","316.1","883200.0","932600.0","234900.0","258400.0","342700.0","460100.0","343900.0","150900.0","25000.0","13727.0","19525.0","26337.0","29176.0","718759.0"
"JP.SH","1413200.0","352.5","696900.0","716300.0","203600.0","224100.0","285300.0","346400.0","237700.0","98300.0","17500.0","12729.0","12266.0","24554.0","25443.0","537294.0"
"JP.KY","2610100.0","565.9","1248600.0","1361600.0","314700.0","406400.0","498500.0","621100.0","503000.0","206200.0","60200.0","19583.0","25507.0","53417.0","54591.0","1152925.0"
"JP.OS","8838900.0","4638.3","4255100.0","4583800.0","1092100.0","1322800.0","1781000.0","2180100.0","1703400.0","595100.0","164500.0","69968.0","81652.0","149142.0","149533.0","3921923.0"
"JP.HG","5537000.0","659.6","2642000.0","2895000.0","706600.0","798200.0","1066000.0","1393300.0","1045100.0","421100.0","106700.0","44352.0","54147.0","86390.0","93482.0","2314206.0"
"JP.NR","1365000.0","372.8","644100.0","720900.0","168300.0","204200.0","246900.0","348400.0","277100.0","108000.0","12200.0","9625.0","13835.0","23662.0","26727.0","530325.0"
"JP.WK","963900.0","205.5","453200.0","510600.0","114700.0","128300.0","166000.0","251700.0","202200.0","96000.0","5100.0","7140.0","12609.0","11420.0","14377.0","391924.0"
"JP.TT","573600.0","163.7","273800.0","299900.0","72900.0","75100.0","101700.0","146500.0","108600.0","59600.0","9300.0","4527.0","7076.0","8965.0","10096.0","215542.0"
"JP.SM","694200.0","103.9","332900.0","361300.0","85700.0","85700.0","116100.0","174100.0","140100.0","83100.0","9500.0","5359.0","9369.0","10061.0","11662.0","264481.0"
"JP.OY","1922200.0","270.4","922300.0","999900.0","249600.0","282900.0","358100.0","458100.0","365600.0","174400.0","33500.0","15837.0","21051.0","28900.0","29282.0","772106.0"
"JP.HS","2845000.0","334.1","1376300.0","1468600.0","372000.0","407400.0","548300.0","702300.0","543800.0","243300.0","28000.0","23775.0","29463.0","45071.0","47710.0","1209581.0"
"JP.YC","1405000.0","230.4","664900.0","740100.0","171600.0","184200.0","244100.0","349100.0","300500.0","145300.0","10200.0","10197.0","17910.0","22163.0","25810.0","598550.0"
"JP.TS","756100.0","184.2","359800.0","396200.0","86600.0","96300.0","130900.0","194000.0","151100.0","78900.0","18100.0","5502.0","9853.0","9438.0","10933.0","305098.0"
"JP.KG","976800.0","522.7","472400.0","504400.0","123000.0","125400.0","177900.0","241700.0","193200.0","93800.0","21700.0","7745.0","11503.0","17263.0","18412.0","398316.0"
"JP.EH","1385800.0","245.8","654500.0","731400.0","169100.0","179600.0","243600.0","352100.0","277200.0","138300.0","25800.0","10399.0","17529.0","17385.0","20897.0","592209.0"
"JP.KC","728500.0","103.9","342600.0","385900.0","83700.0","91100.0","124600.0","184200.0","153300.0","83700.0","8000.0","5015.0","9984.0","9018.0","11197.0","318972.0"
"JP.FO","5102900.0","1021.0","2409900.0","2692900.0","656800.0","758700.0","980700.0","1258600.0","905400.0","394700.0","147900.0","45203.0","49317.0","96588.0","92688.0","2199429.0"
"JP.SG","833200.0","342.1","393100.0","440100.0","115900.0","120400.0","147300.0","216300.0","150400.0","79200.0","3800.0","7159.0","9732.0","14979.0","17248.0","301840.0"
"JP.NS","1377800.0","335.4","645900.0","731900.0","175600.0","183800.0","230200.0","369100.0","266400.0","137600.0","15100.0","11323.0","17091.0","22443.0","28296.0","560681.0"
"JP.KM","1787000.0","242.1","841000.0","945900.0","238500.0","251700.0","312800.0","462300.0","330600.0","179800.0","11300.0","15558.0","20461.0","27671.0","30532.0","704497.0"
"JP.OT","1166700.0","184.7","551900.0","614800.0","146200.0","158700.0","207700.0","293100.0","230200.0","117500.0","13100.0","9279.0","14065.0","18170.0","20818.0","485909.0"
"JP.MZ","1104400.0","144.0","519200.0","585200.0","146800.0","145900.0","189100.0","284100.0","209600.0","109100.0","19600.0","9509.0","13110.0","18421.0","21606.0","462620.0"
"JP.KS","1648800.0","181.5","773100.0","875700.0","217400.0","219100.0","276300.0","435400.0","302800.0","173800.0","24200.0","14236.0","21413.0","26215.0","30774.0","724566.0"
"JP.ON","1434100.0","623.0","704500.0","729600.0","243600.0","239800.0","288900.0","368700.0","190800.0","88500.0","13800.0","16373.0","11361.0","24356.0","24393.0","559744.0"
